ensembl_gene_id,symbol,regulator_class,acts_on_protein,acts_on_nonprotein,nonprotein_substrate_type,dual_protein_nonprotein,catalytic_status,n_evidence_dimensions,evidence_sources,evidence_tier,curated_core,is_catalytic_background,substrate_call,is_protein_catalytic_background
ENSG00000115977,AAK1,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000181409,AATK,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000097007,ABL1,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000143322,ABL2,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000115170,ACVR1,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000135503,ACVR1B,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000123612,ACVR1C,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000121989,ACVR2A,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000114739,ACVR2B,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000139567,ACVRL1,kinase,TRUE,FALSE,,FALSE,active,2,pkinfam;Manning;KinHub;GO;EC;UniProtKW,Gold,TRUE,TRUE,protein,TRUE
ENSG00000142208,AKT1,kinase,TRUE,FALSE,,FALSE,active,2,pkinfam;Manning;KinHub;GO;EC;UniProtKW,Gold,TRUE,TRUE,protein,TRUE
ENSG00000105221,AKT2,kinase,TRUE,FALSE,,FALSE,active,2,pkinfam;Manning;KinHub;GO;EC;UniProtKW,Gold,TRUE,TRUE,protein,TRUE
ENSG00000117020,AKT3,kinase,TRUE,FALSE,,FALSE,active,2,pkinfam;Manning;KinHub;EC;UniProtKW,Gold,TRUE,TRUE,protein,TRUE
ENSG00000171094,ALK,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000073331,ALPK1,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000198796,ALPK2,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW;IDG,Silver,TRUE,TRUE,protein,TRUE
ENSG00000136383,ALPK3,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW;IDG,Silver,TRUE,TRUE,protein,TRUE
ENSG00000135409,AMHR2,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000170209,ANKK1,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000078061,ARAF,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000149311,ATM,kinase,TRUE,TRUE,lipid,TRUE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,dual,TRUE
ENSG00000175054,ATR,kinase,TRUE,FALSE,,FALSE,active,2,pkinfam;Manning;KinHub;GO;EC;UniProtKW,Gold,TRUE,TRUE,protein,TRUE
ENSG00000087586,AURKA,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000178999,AURKB,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000105146,AURKC,kinase,TRUE,FALSE,,FALSE,active,1,pkinfam;Manning;KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
ENSG00000101200,AVP,kinase,TRUE,FALSE,,FALSE,active,0,GO,Provisional,FALSE,FALSE,protein,FALSE
ENSG00000167601,AXL,kinase,TRUE,FALSE,,FALSE,active,2,pkinfam;Manning;KinHub;GO;EC;UniProtKW,Gold,TRUE,TRUE,protein,TRUE
ENSG00000009954,BAZ1B,kinase,TRUE,FALSE,,FALSE,active,1,KinHub;GO;UniProtKW,Silver,TRUE,TRUE,protein,TRUE
