term_id,class,substrate,substrate_subtype,role,scope,citation,note
GO:0004672,kinase,protein,,rigor+substrate,subtree,AmiGO; Braun 2020 (10.3390/v12121360),protein kinase activity (protein umbrella; all descendants qualify)
GO:0004674,kinase,protein,,rigor+substrate,subtree,AmiGO; xref EC 2.7.11,protein Ser/Thr kinase activity
GO:0106310,kinase,protein,,rigor+substrate,exact,AmiGO,protein serine kinase activity
GO:0004713,kinase,protein,,rigor+substrate,subtree,AmiGO; xref EC 2.7.10,protein tyrosine kinase activity
GO:0004712,kinase,protein,,rigor+substrate,exact,AmiGO; xref EC 2.7.12.1,protein Ser/Thr/Tyr kinase activity (dual)
GO:0004673,kinase,protein,,rigor+substrate,exact,AmiGO; xref EC 2.7.13,protein histidine kinase activity
GO:1990424,kinase,protein,,rigor+substrate,exact,AmiGO,protein arginine kinase activity; pair with EC 2.7.14 (NOT GO:0016597)
GO:0097472,kinase,protein,,rigor+substrate,exact,AmiGO; xref EC 2.7.11.22,cyclin-dependent protein kinase activity
GO:0035173,kinase,protein,,rigor+substrate,exact,AmiGO,histone kinase activity
GO:0001727,kinase,nonprotein,lipid,rigor+substrate,subtree,AmiGO,lipid kinase activity (under GO:0016301)
GO:0004430,kinase,nonprotein,lipid,rigor+substrate,exact,AmiGO; xref EC 2.7.1.67,1-PI 4-kinase activity
GO:0035004,kinase,nonprotein,lipid,rigor+substrate,exact,AmiGO,PI 3-kinase activity
GO:0016303,kinase,nonprotein,lipid,rigor+substrate,exact,AmiGO,1-PI 3-kinase activity
GO:0004143,kinase,nonprotein,lipid,rigor+substrate,exact,AmiGO,diacylglycerol kinase activity
GO:0008481,kinase,nonprotein,lipid,rigor+substrate,exact,AmiGO,sphingosine kinase activity
GO:0019200,kinase,nonprotein,carbohydrate,rigor+substrate,subtree,AmiGO,carbohydrate kinase activity (hexokinase GO:0004396)
GO:0019205,kinase,nonprotein,nucleotide,rigor+substrate,subtree,AmiGO,nucleobase-containing compound kinase (adenylate GO:0004017; NDP GO:0004550)
GO:0004111,kinase,nonprotein,metabolite,rigor+substrate,exact,AmiGO; xref EC 2.7.3.2,creatine kinase activity
GO:0016597,kinase,nonprotein,metabolite,rigor+substrate,exact,AmiGO,amino acid kinase activity (free amino acids); the metabolic term mis-assigned to protein-Arg kinase by agent 2
GO:0016301,kinase,na,,rigor_umbrella,subtree,AmiGO,"kinase activity (broad); membership/typing only, never a substrate vote"
GO:0016773,kinase,na,,rigor_umbrella,exact,AmiGO,"phosphotransferase, alcohol group as acceptor (intermediate)"
GO:0016775,kinase,na,,rigor_umbrella,exact,AmiGO,"phosphotransferase, nitrogenous group as acceptor (creatine/arginine-kinase parent)"
