ensembl_gene_id,regulator_class,ec_codes,go_terms,chen_nonprotein,in_structural_catalog,supplementary_support,go_experimental_protein,catalytic_status
ENSG00000115977,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000181409,kinase,,GO:0004672|GO:0004674|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000097007,kinase,,GO:0004672|GO:0004674|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000143322,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000115170,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000135503,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000123612,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000121989,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000114739,kinase,,GO:0004672|GO:0004674|GO:0004712|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000139567,kinase,2.7.11.30,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000142208,kinase,2.7.11.1,GO:0004672|GO:0004674|GO:0004712|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000105221,kinase,2.7.11.1,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000117020,kinase,2.7.11.1,,FALSE,TRUE,TRUE,FALSE,active
ENSG00000171094,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000073331,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000198796,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,FALSE,active
ENSG00000136383,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000135409,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000170209,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,FALSE,active
ENSG00000078061,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000149311,kinase,,GO:0001727|GO:0004672|GO:0004674|GO:0016301|GO:0016303|GO:0016773|GO:0035173|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000175054,kinase,2.7.11.1,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0035173|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000087586,kinase,,GO:0004672|GO:0004674|GO:0004712|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000178999,kinase,,GO:0004672|GO:0004674|GO:0004712|GO:0016301|GO:0016773|GO:0035173|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000105146,kinase,,GO:0004672|GO:0004674|GO:0004712|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000101200,kinase,,GO:0004672|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000167601,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000009954,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773|GO:0035173,FALSE,TRUE,TRUE,TRUE,active
ENSG00000103507,kinase,2.7.11.4,GO:0004672|GO:0004674|GO:0004721|GO:0004722|GO:0016301|GO:0016773|GO:0016791|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000186716,kinase,,GO:0004672|GO:0004674|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000106605,kinase,1.3.1.24,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,FALSE,FALSE,active
